Species,Mean_mass_g,Mean_mass_g_SD,Max_mass_g
Aphrodita aculeata,44.9 ,19.55,90.00
Spirontocarus lilleborgi,1.2 ,0.32,2.30
Processa canaliculata,1.0 ,0.32,1.60
Pandalus borealis,5.7 ,0.86,9.90
Pandalus montagui,1.9 ,0.42,3.60
Crangon allmani,0.9 ,0.00,2.90
Pontophilus spinosus,1.0 ,0.12,1.80
Nephrops norvegicus,85.4 ,14.17,165.70
Lithodes maja,600.7 ,168.43,1020.00
Pagurus bernhardus,42.1 , 7.46,67.50
Pagurus prideaux,15.6 , 3.90,27.80
Munidia rugosa,6.3 ,0.98,11.50
Ebalia cranchii,0.4 ,0.06,0.90
Inarchus dorsettensis,15.8 , 0.71,27.30
Corystes cassevelinus,19.0 , 2.03,34.50
Atelecyclus rotundatus,11.8 , 3.12,22.30
Cancer pagurus,863.3 ,163.57,1985.00
Liocarcinus depurator,21.7 , 4.74,36.90
Liocarcinus holsatus,15.4 , 3.57,26.40
Colus gracilis,21.3 , 2.17,37.40
Buccinum undatum,125.3 , 18.49,201.00
Neptunia antiqua,187.5 , 44.16,375.80
Polinices montagui,3.0 ,0.87,5.20
Modiolis modiolis,287.00,NA,552.00
Aequipecten opercularis,40.7 , 4.70,80.00
Loligo forbesi,369.3 ,109.35,550.50
Loligo vulgaris,59.00,NA,175.00
Eledone cirrhosa,367.00,NA,704.00
Luidia ciliaris,205.30,NA,373.00
Astropecten irregularis,29.8 , 6.47,44.00
Porania pulvillus,41.4 ,12.47,75.50
Asterina gibbosa,98.0 ,23.90,175.00
Henricia sanguinolenta,187.50,NA,29.10
Asterias rubens,175.3 , 28.01,376.50
Leptasterias muelleri,47.00,NA,122.60
Ophiothrix fragilis,5.9 ,0.40,9.20
Ophiura albida,1.3 ,0.10,2.00
Ophiura ophiura,2.9 ,0.10,4.50
Echinus acutus,238.0 ,231.62,590.00
Echinus elegans,1.7 ,0.17,4.00
Echinus esculentus,411.3 ,137.41,855.00
Psamechinus miliaris,9.3 ,3.51,14.00